id,verb
19147__Conservative__uk.proc.d.1937-11-29.33,like
19147__Conservative__uk.proc.d.1937-11-29.33,paragraph
19147__Conservative__uk.proc.d.1937-11-29.33,seem
19147__Conservative__uk.proc.d.1937-11-29.33,give
21878__Conservative__uk.proc.d.1937-12-06.29,hear
21878__Conservative__uk.proc.d.1937-12-06.29,claim
21878__Conservative__uk.proc.d.1937-12-06.29,do
21878__Conservative__uk.proc.d.1937-12-06.29,be
21878__Conservative__uk.proc.d.1937-12-06.29,think
21869__Conservative__uk.proc.d.1937-12-15.30,threaten
17812__Liberal__uk.proc.d.1937-12-15.30,take
17812__Liberal__uk.proc.d.1937-12-15.30,leave
17812__Liberal__uk.proc.d.1937-12-15.30,hand
17812__Liberal__uk.proc.d.1937-12-15.30,recognise
17812__Liberal__uk.proc.d.1937-12-15.30,create
17812__Liberal__uk.proc.d.1938-02-03.31,travel
17812__Liberal__uk.proc.d.1938-02-03.31,call
17812__Liberal__uk.proc.d.1938-02-03.31,go
17812__Liberal__uk.proc.d.1938-02-03.31,decide
17812__Liberal__uk.proc.d.1938-02-03.31,go
17812__Liberal__uk.proc.d.1938-02-03.31,represent
21882__Labour__uk.proc.d.1938-02-03.31,give
17087__Conservative__uk.proc.d.1938-02-03.31,set
17087__Conservative__uk.proc.d.1938-02-03.31,be
19423__Conservative__uk.proc.d.1938-02-04.2,have
19423__Conservative__uk.proc.d.1938-02-04.2,check
19423__Conservative__uk.proc.d.1938-02-04.2,be
19423__Conservative__uk.proc.d.1938-02-04.2,routine
21416__Labour__uk.proc.d.1938-02-04.2,say
21416__Labour__uk.proc.d.1938-02-04.2,go
21416__Labour__uk.proc.d.1938-02-04.2,create
21416__Labour__uk.proc.d.1938-02-04.2,have
21416__Labour__uk.proc.d.1938-02-04.2,trot
21416__Labour__uk.proc.d.1938-02-04.2,tell
21416__Labour__uk.proc.d.1938-02-04.2,prepare
21416__Labour__uk.proc.d.1938-02-04.2,be
21416__Labour__uk.proc.d.1938-02-04.2,find
21416__Labour__uk.proc.d.1938-02-04.2,get
17601__Liberal__uk.proc.d.1938-02-09.22,come
17601__Liberal__uk.proc.d.1938-02-09.22,say
17601__Liberal__uk.proc.d.1938-02-09.22,let
17601__Liberal__uk.proc.d.1938-02-09.22,superintend
17601__Liberal__uk.proc.d.1938-02-09.22,care
17601__Liberal__uk.proc.d.1938-02-09.22,see
17601__Liberal__uk.proc.d.1938-02-09.22,be
17601__Liberal__uk.proc.d.1938-02-09.22,spend
18281__Conservative__uk.proc.d.1938-03-10.37,be
18281__Conservative__uk.proc.d.1938-03-10.37,increase
19100__Conservative__uk.proc.d.1938-03-15.32,correlate
19100__Conservative__uk.proc.d.1938-03-15.32,enlighten
19100__Conservative__uk.proc.d.1938-03-15.32,work
17087__Conservative__uk.proc.d.1938-04-05.14,ask
17087__Conservative__uk.proc.d.1938-04-05.14,strike
17812__Liberal__uk.proc.d.1938-04-11.38,like
17812__Liberal__uk.proc.d.1938-04-11.38,see
17812__Liberal__uk.proc.d.1938-04-11.38,set
17812__Liberal__uk.proc.d.1938-04-11.38,come
17812__Liberal__uk.proc.d.1938-04-11.38,mulct
17812__Liberal__uk.proc.d.1938-04-11.38,call
17812__Liberal__uk.proc.d.1938-04-11.38,pay
17812__Liberal__uk.proc.d.1938-04-11.38,hand
17812__Liberal__uk.proc.d.1938-04-11.38,belong
17812__Liberal__uk.proc.d.1938-04-11.38,vote
17812__Liberal__uk.proc.d.1938-04-11.38,give
17812__Liberal__uk.proc.d.1938-04-11.38,be
17812__Liberal__uk.proc.d.1938-04-11.38,pay
17812__Liberal__uk.proc.d.1938-04-11.38,call
17812__Liberal__uk.proc.d.1938-04-11.38,pay
19472__Labour__uk.proc.d.1938-06-30.12,try
19472__Labour__uk.proc.d.1938-06-30.12,strengthen
19472__Labour__uk.proc.d.1938-06-30.12,be
19472__Labour__uk.proc.d.1938-06-30.12,weigh
21880__Conservative__uk.proc.d.1938-07-15.4,see
21880__Conservative__uk.proc.d.1938-07-15.4,live
21880__Conservative__uk.proc.d.1938-07-15.4,draw
21880__Conservative__uk.proc.d.1938-07-15.4,animate
21880__Conservative__uk.proc.d.1938-07-15.4,work
21880__Conservative__uk.proc.d.1938-07-15.4,bear
21880__Conservative__uk.proc.d.1938-07-15.4,be
21880__Conservative__uk.proc.d.1938-07-15.4,lack
21880__Conservative__uk.proc.d.1938-07-15.4,lack
21880__Conservative__uk.proc.d.1938-07-15.4,be
21880__Conservative__uk.proc.d.1938-07-15.4,think
21880__Conservative__uk.proc.d.1938-07-15.4,urge
21880__Conservative__uk.proc.d.1938-07-15.4,dictate
21880__Conservative__uk.proc.d.1938-07-15.4,control
21880__Conservative__uk.proc.d.1938-07-15.4,take
21880__Conservative__uk.proc.d.1938-07-15.4,effect
21880__Conservative__uk.proc.d.1938-07-15.4,be
21880__Conservative__uk.proc.d.1938-07-15.4,throw
21535__Labour__uk.proc.d.1938-07-20.23,grow
21103__Conservative__uk.proc.d.1938-07-21.17,secure
16628__National_Liberal__uk.proc.d.1938-12-12.31,be
21535__Labour__uk.proc.d.1938-12-13.15,concern
21535__Labour__uk.proc.d.1938-12-13.15,have
21535__Labour__uk.proc.d.1938-12-13.15,make
21535__Labour__uk.proc.d.1938-12-13.15,propose
21535__Labour__uk.proc.d.1938-12-13.15,make
21535__Labour__uk.proc.d.1938-12-13.15,magnify
21535__Labour__uk.proc.d.1938-12-13.15,bind
21535__Labour__uk.proc.d.1938-12-13.15,grow
21535__Labour__uk.proc.d.1938-12-13.15,take
21535__Labour__uk.proc.d.1938-12-13.15,bring
21535__Labour__uk.proc.d.1938-12-13.15,desire
"18349__Independent_Labour_Party,_1932__uk.proc.d.1938-12-13.15",read
"18349__Independent_Labour_Party,_1932__uk.proc.d.1938-12-13.15",come
"18349__Independent_Labour_Party,_1932__uk.proc.d.1938-12-13.15",writ
19360__Conservative__uk.proc.d.1938-12-14.16,conceive
19360__Conservative__uk.proc.d.1938-12-14.16,be
19360__Conservative__uk.proc.d.1938-12-14.16,manage
19360__Conservative__uk.proc.d.1938-12-14.16,be
19360__Conservative__uk.proc.d.1938-12-14.16,farm
17589__Labour__uk.proc.d.1938-12-20.29,appear
17589__Labour__uk.proc.d.1938-12-20.29,know
17589__Labour__uk.proc.d.1938-12-20.29,have
17589__Labour__uk.proc.d.1938-12-20.29,emerge
17589__Labour__uk.proc.d.1938-12-20.29,be
17589__Labour__uk.proc.d.1938-12-20.29,run
22212__Labour__uk.proc.d.1938-12-20.29,like
22212__Labour__uk.proc.d.1938-12-20.29,see
22212__Labour__uk.proc.d.1938-12-20.29,devolve
22212__Labour__uk.proc.d.1938-12-20.29,exist
22212__Labour__uk.proc.d.1938-12-20.29,be
22212__Labour__uk.proc.d.1938-12-20.29,leave
19714__Labour__uk.proc.d.1939-02-10.3,turn
19714__Labour__uk.proc.d.1939-02-10.3,read
19714__Labour__uk.proc.d.1939-02-10.3,be
19714__Labour__uk.proc.d.1939-02-10.3,find
19714__Labour__uk.proc.d.1939-02-10.3,come
19714__Labour__uk.proc.d.1939-02-10.3,assume
19714__Labour__uk.proc.d.1939-02-10.3,involve
19714__Labour__uk.proc.d.1939-02-10.3,help
19714__Labour__uk.proc.d.1939-02-10.3,smile
19714__Labour__uk.proc.d.1939-02-10.3,charge
19714__Labour__uk.proc.d.1939-02-10.3,burden
19714__Labour__uk.proc.d.1939-02-10.3,be
19714__Labour__uk.proc.d.1939-02-10.3,oppose
19714__Labour__uk.proc.d.1939-02-10.3,support
16838__Conservative__uk.proc.d.1939-02-10.3,move
16838__Conservative__uk.proc.d.1939-02-10.3,refer
18752__Conservative__uk.proc.d.1939-02-10.3,propose
18752__Conservative__uk.proc.d.1939-02-10.3,do
18752__Conservative__uk.proc.d.1939-02-10.3,create
18752__Conservative__uk.proc.d.1939-02-10.3,deal
18752__Conservative__uk.proc.d.1939-02-10.3,grow
18752__Conservative__uk.proc.d.1939-02-10.3,be
18752__Conservative__uk.proc.d.1939-02-10.3,set
18752__Conservative__uk.proc.d.1939-02-10.3,catch
na__na__uk.proc.d.1939-02-14.44,give
na__na__uk.proc.d.1939-02-14.44,set
na__na__uk.proc.d.1939-02-14.47,deserve
na__na__uk.proc.d.1939-02-14.47,take
na__na__uk.proc.d.1939-02-14.47,think
na__na__uk.proc.d.1939-02-14.47,be
na__na__uk.proc.d.1939-02-14.47,advise
na__na__uk.proc.d.1939-02-14.47,remove
na__na__uk.proc.d.1939-02-14.47,give
na__na__uk.proc.d.1939-02-14.47,go
na__na__uk.proc.d.1939-02-14.47,remove
na__na__uk.proc.d.1939-02-14.47,create
na__na__uk.proc.d.1939-02-14.47,bind
21048__Independent__uk.proc.d.1939-02-20.14,work
21489__Conservative__uk.proc.d.1939-02-22.12,believe
21489__Conservative__uk.proc.d.1939-02-22.12,urge
21489__Conservative__uk.proc.d.1939-02-22.12,spend
21489__Conservative__uk.proc.d.1939-02-22.12,be
21489__Conservative__uk.proc.d.1939-02-22.12,bind
21489__Conservative__uk.proc.d.1939-02-22.12,make
21489__Conservative__uk.proc.d.1939-02-22.12,cause
21489__Conservative__uk.proc.d.1939-02-22.12,approve
21489__Conservative__uk.proc.d.1939-02-22.12,think
21489__Conservative__uk.proc.d.1939-02-22.12,approve
21489__Conservative__uk.proc.d.1939-02-22.12,be
21489__Conservative__uk.proc.d.1939-02-22.12,want
21489__Conservative__uk.proc.d.1939-02-22.12,look
21291__Liberal__uk.proc.d.1939-03-09.51,involve
22243__Conservative__uk.proc.d.1939-04-05.54,know
22243__Conservative__uk.proc.d.1939-04-05.54,raise
22243__Conservative__uk.proc.d.1939-04-05.54,be
22243__Conservative__uk.proc.d.1939-04-05.54,exercise
"18294__National_Liberal,_1932__uk.proc.d.1939-05-05.6",hear
"18294__National_Liberal,_1932__uk.proc.d.1939-05-05.6",go
"18294__National_Liberal,_1932__uk.proc.d.1939-05-05.6",think
17812__Liberal__uk.proc.d.1939-06-06.32,loathe
17812__Liberal__uk.proc.d.1939-06-06.32,hate
21196__Labour__uk.proc.d.1939-06-06.32,put
21196__Labour__uk.proc.d.1939-06-06.32,seem
21196__Labour__uk.proc.d.1939-06-06.32,be
"18294__National_Liberal,_1932__uk.proc.d.1939-06-06.32",utter
"18294__National_Liberal,_1932__uk.proc.d.1939-06-06.32",deal
"18294__National_Liberal,_1932__uk.proc.d.1939-06-06.32",be
"18294__National_Liberal,_1932__uk.proc.d.1939-06-06.32",desire
"18294__National_Liberal,_1932__uk.proc.d.1939-06-06.32",do
"18294__National_Liberal,_1932__uk.proc.d.1939-06-06.32",do
"18294__National_Liberal,_1932__uk.proc.d.1939-06-06.32",pay
"18294__National_Liberal,_1932__uk.proc.d.1939-06-06.32",agree
"18294__National_Liberal,_1932__uk.proc.d.1939-06-06.32",filch
22129__Labour__uk.proc.d.1939-06-06.32,be
22129__Labour__uk.proc.d.1939-06-06.32,go
22129__Labour__uk.proc.d.1939-06-06.32,put
22129__Labour__uk.proc.d.1939-06-06.32,represent
22129__Labour__uk.proc.d.1939-06-06.32,do
22129__Labour__uk.proc.d.1939-06-06.32,allow
22129__Labour__uk.proc.d.1939-06-06.32,rear
19472__Labour__uk.proc.d.1939-06-07.13,struggle
19472__Labour__uk.proc.d.1939-06-07.13,beat
19472__Labour__uk.proc.d.1939-06-07.13,come
19472__Labour__uk.proc.d.1939-06-07.13,mean
19472__Labour__uk.proc.d.1939-06-07.13,control
19472__Labour__uk.proc.d.1939-06-07.13,sympathise
19472__Labour__uk.proc.d.1939-06-07.13,discard
19472__Labour__uk.proc.d.1939-06-07.13,dare
19472__Labour__uk.proc.d.1939-06-07.13,say
19472__Labour__uk.proc.d.1939-06-07.13,tell
19472__Labour__uk.proc.d.1939-06-07.13,meddle
19472__Labour__uk.proc.d.1939-06-07.13,leave
19472__Labour__uk.proc.d.1939-06-15.23,make
19472__Labour__uk.proc.d.1939-06-15.23,work
19472__Labour__uk.proc.d.1939-06-15.23,have
19472__Labour__uk.proc.d.1939-06-15.23,keep
19472__Labour__uk.proc.d.1939-06-15.23,bring
19472__Labour__uk.proc.d.1939-06-15.23,remedy
19472__Labour__uk.proc.d.1939-06-15.23,secure
19472__Labour__uk.proc.d.1939-06-15.23,get
19472__Labour__uk.proc.d.1939-06-15.23,sound
19472__Labour__uk.proc.d.1939-06-15.23,deal
19472__Labour__uk.proc.d.1939-06-15.23,possess
19472__Labour__uk.proc.d.1939-06-15.23,overcome
19472__Labour__uk.proc.d.1939-06-26.39,pick
18281__Conservative__uk.proc.d.1939-07-07.8,think
18281__Conservative__uk.proc.d.1939-07-07.8,slay
18281__Conservative__uk.proc.d.1939-07-07.8,do
18281__Conservative__uk.proc.d.1939-07-07.8,be
18281__Conservative__uk.proc.d.1939-07-07.8,grow
16765__Conservative__uk.proc.d.1939-07-10.30,say
16765__Conservative__uk.proc.d.1939-07-10.30,run
16765__Conservative__uk.proc.d.1939-07-10.30,sadden
16765__Conservative__uk.proc.d.1939-07-10.30,seem
16765__Conservative__uk.proc.d.1939-07-10.30,have
16765__Conservative__uk.proc.d.1939-07-10.30,put
16765__Conservative__uk.proc.d.1939-07-10.30,guarantee
16765__Conservative__uk.proc.d.1939-07-10.30,damp
16765__Conservative__uk.proc.d.1939-07-10.30,require
21804__Labour__uk.proc.d.1939-07-10.30,contend
21804__Labour__uk.proc.d.1939-07-10.30,find
21804__Labour__uk.proc.d.1939-07-10.30,be
21804__Labour__uk.proc.d.1939-07-10.30,represent
21804__Labour__uk.proc.d.1939-07-10.30,say
21804__Labour__uk.proc.d.1939-07-10.30,be
