w,p1,p2,p12,pmi_reg,pmi_2,pmi_3,npmi,period
whether,96,34430,4,-19.656341061178434,-17.656341061178434,-15.656341061178434,14.179052885492116,1957-1960
effect,96,12452,2,-19.18905236219034,-18.189052362190335,-17.189052362190335,27.68395068229065,1957-1960
council,96,17362,2,-19.66860802758557,-18.66860802758557,-17.66860802758557,28.375803262586558,1957-1960
measure,96,8513,2,-18.640414415816185,-17.640414415816185,-16.640414415816185,26.892433437813153,1957-1960
form,96,10127,2,-18.89088173692392,-17.89088173692392,-16.89088173692392,27.253781399880026,1957-1960
evil,96,681,3,-14.41151098801207,-12.826548487290916,-11.24158598656976,13.117922616252274,1957-1960
however,96,12591,2,-19.205067749328222,-18.205067749328222,-17.205067749328222,27.707056001892393,1957-1960
member,96,113239,6,-20.789011388582843,-18.20404888786168,-15.619086387140527,11.602568171462986,1957-1960
function,96,2937,2,-17.105090051046005,-16.10509005104601,-15.105090051046009,24.677428590603217,1957-1960
deal,96,30957,3,-19.917978048227177,-18.333015547506022,-16.748053046784865,18.13012493458863,1957-1960
time,96,53965,3,-20.719736403540235,-19.134773902819077,-17.54981140209792,18.85991683987039,1957-1960
medical,96,4348,2,-17.671098725748465,-16.671098725748465,-15.671098725748466,25.494006498696592,1957-1960
understand,96,14213,2,-19.379885982938323,-18.379885982938323,-17.379885982938323,27.95926540057865,1957-1960
merely,96,5632,2,-18.044394119358454,-17.044394119358454,-16.044394119358454,26.032557911844417,1957-1960
take,96,61153,4,-20.485098155457592,-18.485098155457592,-16.485098155457592,14.77687476050116,1957-1960
make,96,102250,4,-21.226703818324992,-19.226703818324992,-17.226703818324992,15.311830166558146,1957-1960
ministers,96,3646,3,-16.832098846039134,-15.247136345317978,-13.662173844596822,15.321236636125143,1957-1960
initiative,96,1373,2,-16.008078410868258,-15.008078410868258,-14.008078410868258,23.094775337521316,1957-1960
legislation,96,7468,2,-18.45146871294736,-17.45146871294736,-16.451468712947356,26.61984240928702,1957-1960
department,96,7577,2,-18.472373533274343,-17.47237353327434,-16.47237353327434,26.650001689903434,1957-1960
never,96,8283,2,-18.600900174030382,-17.600900174030382,-16.600900174030382,26.83542643714429,1957-1960
government,96,79902,5,-20.5489784006012,-18.22705030571384,-15.905122210826475,12.767798149804424,1957-1960
certainly,96,12231,2,-19.16321724293086,-18.16321724293086,-17.16321724293086,27.646678483854224,1957-1960
wrong,96,7242,2,-18.407134962197333,-17.407134962197333,-16.407134962197333,26.55588232693595,1957-1960
treasury,96,4788,2,-17.81016993766466,-16.81016993766466,-15.810169937664659,25.694643846458504,1957-1960
thing,96,22716,2,-20.056383697146018,-19.056383697146018,-18.056383697146018,28.935245298038815,1957-1960
fault,96,1081,2,-15.663113308455808,-14.663113308455808,-13.663113308455808,22.59709589499112,1957-1960
support,96,10991,2,-19.00899753401982,-18.00899753401982,-17.00899753401982,27.42418647460093,1957-1960
extend,96,3651,2,-17.41903845415604,-16.41903845415604,-15.419038454156041,25.130360394865075,1957-1960
civil,96,6040,3,-17.560332834212442,-15.975370333491284,-14.39040783277013,15.98410377832339,1957-1960
right,96,89247,7,-20.223123632588745,-17.41576871053114,-14.608413788473534,10.392629712325888,1957-1960
responsible,96,5649,2,-18.04874228605654,-17.04874228605654,-16.04874228605654,26.038830990376706,1957-1960
revolution,96,628,2,-14.879583249612782,-13.879583249612782,-12.879583249612782,21.46670096471085,1957-1960
manchester,96,1838,2,-16.42888355201019,-15.428883552010191,-14.428883552010191,23.70186882782736,1957-1960
absurd,96,500,2,-14.550746785383243,-13.550746785383243,-12.550746785383243,20.992290228503432,1957-1960
hand,96,7800,3,-17.929258408636972,-16.344295907915818,-14.75933340719466,16.319914307870437,1957-1960
corporation,96,5636,2,-18.045418397030794,-17.045418397030794,-16.045418397030794,26.034035632162794,1957-1960
bureaucratic,96,103,2,-12.271463027904375,-11.271463027904375,-10.271463027904375,17.703978854809904,1957-1960
need,96,22495,2,-20.042279247187565,-19.042279247187565,-18.042279247187565,28.91489687802929,1958-1961
second,96,12649,3,-18.626735712922205,-17.041773212201047,-15.456810711479891,16.9547855099128,1958-1961
mind,96,14114,2,-19.369801795374304,-18.369801795374304,-17.369801795374304,27.94471699318865,1958-1961
many,96,36766,2,-20.751047105654035,-19.751047105654035,-18.751047105654035,29.937432752580353,1958-1961
good,96,33144,2,-20.601422605700364,-19.601422605700364,-18.601422605700364,29.7215702285017,1958-1961
interest,96,17613,3,-19.104353042069114,-17.51939054134796,-15.934428040626806,17.389531538219057,1958-1961
sometimes,96,3498,3,-16.772314573921655,-15.187352073200497,-13.60238957247934,15.26681864650848,1958-1961
local,96,29926,6,-18.869111836273323,-16.284149335552165,-13.69918683483101,10.53105182940806,1958-1961
hold,96,7937,3,-17.95437809014405,-16.369415589422893,-14.784453088701737,16.342779227338553,1958-1961
burnham,96,117,2,-12.45532722030456,-11.45532722030456,-10.45532722030456,17.96923881338271,1958-1961
create,96,4692,8,-15.780949798749665,-12.780949798749665,-9.780949798749665,7.58903267172461,1958-1961
private,96,10346,2,-18.921747976924912,-17.921747976924912,-16.921747976924912,27.298311971260347,1958-1961
surely,96,5782,2,-18.082315394198204,-17.082315394198204,-16.082315394198204,26.087266746999912,1958-1961
official,96,6565,2,-18.265541796501406,-17.265541796501406,-16.265541796501406,26.351606568962666,1958-1961
approve,96,3287,2,-17.26751824180147,-16.26751824180147,-15.267518241801469,24.91176293590669,1958-1961
people,96,50635,6,-19.627847331090123,-17.04288483036897,-14.457922329647811,10.954510171806936,1958-1961
managerial,96,86,2,-12.011227255423254,-11.011227255423254,-10.011227255423254,17.328537996389485,1958-1961
protection,96,2608,2,-16.933690654952233,-15.933690654952233,-14.933690654952233,24.430151531847372,1958-1961
always,96,10325,4,-17.918816661915326,-15.918816661915326,-13.918816661915326,12.925693968371885,1958-1961
build,96,8881,2,-18.701468918469228,-17.701468918469228,-16.701468918469228,26.98051646601464,1958-1961
challenge,96,1716,2,-16.329796338220703,-15.329796338220703,-14.329796338220703,23.558916195877764,1958-1961
minister,96,52722,2,-21.27107998004284,-20.27107998004284,-19.271079980042835,30.687681601560314,1958-1961
doubt,96,10681,2,-18.967721604777648,-17.967721604777648,-16.967721604777648,27.364637896175164,1958-1961
describe,96,3403,3,-16.73259143596501,-15.147628935243853,-13.562666434522695,15.230661088135632,1958-1961
part,96,28012,3,-19.7737573721398,-18.188794871418644,-16.603832370697486,17.998849617923256,1958-1961
machinery,96,3424,2,-17.326429487122304,-16.326429487122304,-15.326429487122304,24.996753897383655,1958-1961
gentleman,96,54422,3,-20.731902355928707,-19.14693985520755,-17.56197735448639,18.870990766963654,1958-1961
change,96,13952,2,-19.353146825498083,-18.353146825498083,-17.353146825498083,27.92068895074207,1958-1961
executive,96,1632,3,-15.672425341971495,-14.08746284125034,-12.502500340529185,14.26565632264298,1958-1961
like,96,29689,3,-19.85764088010415,-18.27267837938299,-16.687715878661837,18.07520367733947,1958-1961
industry,96,38549,4,-19.819368315929637,-17.819368315929637,-15.81936831592964,14.296652191471766,1958-1961
seem,96,15526,2,-19.50736107294047,-18.50736107294047,-17.50736107294047,28.143173080761624,1958-1961
large,96,14752,3,-18.84862294042934,-17.263660439708183,-15.678697938987025,17.156755968277267,1958-1961
force,96,11324,3,-18.467096033905747,-16.882133533184593,-15.297171032463437,16.8094752119459,1958-1961
come,96,33929,3,-20.050231289224005,-18.46526878850285,-16.880306287781693,18.250507022392473,1958-1961
indeed,96,10552,2,-18.9501913499727,-17.9501913499727,-16.9501913499727,27.33934708450255,1958-1961
country,96,40441,3,-20.303531051300855,-18.7185685505797,-17.133606049858543,18.48107040193007,1958-1961
european,96,3460,2,-17.341518823245245,-16.341518823245245,-15.341518823245243,25.01852320777853,1958-1961
side,96,18037,2,-19.723634282886263,-18.723634282886263,-17.723634282886263,28.455189368227558,1958-1961
party,96,14666,3,-18.84018782404048,-17.255225323319326,-15.67026282259817,17.149077994458963,1958-1961
strengthen,96,1008,2,-15.562242424221074,-14.562242424221074,-13.562242424221074,22.451569970535584,1958-1961
trading,96,1371,2,-16.005975356500382,-15.005975356500382,-14.005975356500382,23.09174127141406,1958-1961
junior,96,479,2,-14.488844346457336,-13.488844346457336,-12.488844346457336,20.902983886846094,1958-1961
great,96,43137,5,-19.65967263189507,-17.33774453700771,-15.015816442120343,12.215241408201916,1958-1961
service,96,25483,3,-19.6372475091982,-18.052285008477043,-16.46732250775589,17.874592985852356,1958-1961
treat,96,3415,2,-17.32263236389861,-16.32263236389861,-15.32263236389861,24.991275806539186,1958-1961
resist,96,838,2,-15.29576893442051,-14.295768934420508,-13.295768934420508,22.067129988271933,1958-1961
bill,96,47494,2,-21.120420147040573,-20.120420147040573,-19.120420147040573,30.470325407626788,1958-1961
associate,96,1910,2,-16.484319423644266,-15.48431942364427,-14.48431942364427,23.7818458849212,1958-1961
inland,96,1282,2,-15.9091430473399,-14.909143047339898,-13.909143047339898,22.952041779190406,1958-1961
bureaucracy,96,96,96,-6.584962500721156,0.0,6.584962500721156,1.4426950408889634,1958-1961
seek,96,6508,2,-18.252961036393685,-17.252961036393685,-16.252961036393685,26.333456368744645,1958-1961
system,96,10018,3,-18.290306896257903,-16.705344395536745,-15.12038189481559,16.6485548040173,1958-1961
friend,96,71924,6,-20.13418563704936,-17.549223136328205,-14.964260635607047,11.237102960992742,1958-1961
include,96,9785,2,-18.841318636235325,-17.841318636235325,-16.841318636235325,27.18227696030551,1958-1961
know,96,43042,2,-20.978419996339962,-19.97841999633996,-18.97841999633996,30.26546249440553,1958-1961
work,96,32392,2,-20.568312428397615,-19.568312428397615,-18.568312428397615,29.67380233990407,1958-1961
rather,96,14130,2,-19.371436345942456,-18.371436345942456,-17.371436345942456,27.947075151187406,1958-1961
want,96,29524,2,-20.434563075558636,-19.434563075558636,-18.434563075558636,29.480842811841168,1958-1961
opportunity,96,10274,2,-18.911672859068116,-17.911672859068116,-16.911672859068116,27.283776648691976,1958-1961
authority,96,31806,2,-20.541973826715086,-19.541973826715086,-18.541973826715086,29.635803769872737,1958-1961
revenue,96,3637,2,-17.413495711176775,-16.413495711176775,-15.413495711176774,25.122363907055966,1958-1961
socialism,96,199,2,-13.221587121264806,-12.221587121264804,-11.221587121264806,19.074718172530122,1958-1961
remind,96,3543,2,-17.375718250839473,-16.375718250839473,-15.375718250839471,25.067862552369963,1958-1961
citizen,96,2175,2,-16.67176218634461,-15.67176218634461,-14.67176218634461,24.05226862911951,1958-1961
scheme,96,16373,4,-18.583993569131188,-16.583993569131188,-14.58399356913119,13.405517681048977,1958-1961
power,96,20608,4,-18.915879378835776,-16.915879378835776,-14.915879378835774,13.644922686950089,1958-1961
opposite,96,11288,4,-18.04746477331842,-16.04746477331842,-14.047464773318419,13.018493964542373,1958-1961
unfair,96,1738,2,-16.34817486753556,-15.348174867535558,-14.348174867535558,23.585430808979137,1958-1961
believe,96,21745,4,-18.99335858907259,-16.993358589072585,-14.993358589072587,13.700812123140413,1958-1961
proper,96,5243,2,-17.941139331237512,-16.941139331237512,-15.941139331237512,25.883592741074292,1958-1961
exist,96,9388,2,-18.78156462724433,-17.781564627244325,-16.781564627244325,27.096070147860967,1958-1961
become,96,11187,2,-19.034498083215954,-18.034498083215954,-17.034498083215954,27.46097599046614,1958-1961
product,96,2650,2,-16.956739145059082,-15.956739145059082,-14.956739145059082,24.4634034742245,1958-1961
tory,96,2379,2,-16.80110205714629,-15.801102057146291,-14.801102057146291,24.23886661931432,1958-1961
probably,96,5266,2,-17.94745430676722,-16.94745430676722,-15.947454306767218,25.892703324954336,1958-1961
present,96,27422,2,-20.328008676947828,-19.328008676947828,-18.328008676947828,29.32711730938045,1958-1961
even,96,18875,5,-18.467223429820958,-16.145295334933596,-13.823367240046236,11.474331061265536,1958-1961
organisation,96,6026,4,-17.14194745831562,-15.141947458315618,-13.14194745831562,12.365301294645558,1958-1961
must,96,37281,3,-20.186152937923932,-18.601190437202778,-17.016227936481624,18.37422823878694,1958-1961
constant,96,859,2,-15.33147682185962,-14.33147682185962,-13.33147682185962,22.118645580400962,1958-1961
anything,96,7884,2,-18.529674561764644,-17.529674561764644,-16.529674561764644,26.732669599544227,1958-1961
would,96,114589,5,-21.06914343913741,-18.747215344250044,-16.425287249362682,13.090994859983518,1958-1961
well,96,35410,3,-20.11186922327828,-18.526906722557122,-16.941944221835964,18.30661228781691,1958-1961
taxpayer,96,2841,2,-17.0571456169107,-16.0571456169107,-15.057145616910697,24.608259393237983,1958-1961
much,96,33523,3,-20.032863642293606,-18.447901141572448,-16.862938640851294,18.23469830888222,1958-1961
loss,96,4495,2,-17.719067901122965,-16.719067901122965,-15.719067901122967,25.563211390124916,1958-1961
international,96,3979,3,-16.958190183693738,-15.373227682972583,-13.788265182251424,15.436009917796213,1958-1961
affect,96,6000,2,-18.1357092861044,-17.1357092861044,-16.1357092861044,26.164297850066742,1958-1961
talk,96,8200,3,-18.00140819439281,-16.416445693671655,-14.831483192950495,16.38558787305812,1958-1961
matter,96,49844,4,-20.190094730105308,-18.190094730105308,-16.190094730105308,14.564074771100662,1958-1961
state,96,27324,3,-19.737881076857782,-18.15291857613662,-16.567956075415466,17.966193606651515,1958-1961
nationalise,96,2561,3,-16.322491537597468,-14.737529036876312,-13.152566536155156,14.857372073805816,1958-1961
mere,96,816,2,-15.257387842692653,-14.257387842692653,-13.257387842692653,22.01175777757225,1958-1961
think,96,70731,9,-19.5250925372026,-16.355167535760287,-13.185242534317975,8.886252565440364,1958-1961
house,96,68498,4,-20.648736745245888,-18.648736745245888,-16.648736745245888,14.89491505149398,1958-1961
reasonably,96,1397,3,-15.448116305409464,-13.863153804688306,-12.278191303967152,14.061481438677346,1958-1961
gallant,96,3356,2,-17.29748950116098,-16.29748950116098,-15.29748950116098,24.95500232315386,1958-1961
question,96,40963,3,-20.322033757158632,-18.737071256437474,-17.15210875571632,18.497912290600553,1958-1961
whether,96,34461,4,-19.65763944701363,-17.65763944701363,-15.657639447013631,14.179989472894915,1958-1961
ordinary,96,3684,2,-17.432019846812494,-16.432019846812494,-15.432019846812493,25.149088585674374,1958-1961
enterprise,96,2757,2,-17.01384605273135,-16.013846052731346,-15.013846052731347,24.545791326723783,1958-1961
evil,96,699,3,-14.449148645375438,-12.86418614465428,-11.279223643933124,13.152181888382753,1958-1961
however,96,13207,3,-18.689015171898564,-17.104052671177406,-15.519090170456252,17.011474716486177,1958-1961
member,96,118029,8,-20.43374435182897,-17.43374435182897,-14.43374435182897,9.82655388105884,1958-1961
idea,96,6323,2,-18.21135600489515,-17.21135600489515,-16.21135600489515,26.27343299612568,1958-1961
complexity,96,438,2,-14.359749560322332,-13.359749560322332,-12.359749560322332,20.716739479084502,1958-1961
deal,96,32282,5,-19.241476747539803,-16.91954865265244,-14.597620557765078,11.955401695762937,1958-1961
result,96,13775,2,-19.33472719906704,-18.33472719906704,-17.33472719906704,27.894115047034976,1958-1961
understand,96,14249,2,-19.38353555423822,-18.38353555423822,-17.38353555423822,27.964530618994388,1958-1961
take,96,62407,2,-21.514382741071046,-20.514382741071046,-19.514382741071046,31.0386932883303,1958-1961
make,96,104126,4,-21.252933326096816,-19.252933326096816,-17.252933326096816,15.33075075695183,1958-1961
initiative,96,1441,2,-16.077817120895904,-15.077817120895903,-14.077817120895903,23.195387028636194,1958-1961
public,96,20464,2,-19.905763049602793,-18.905763049602793,-17.905763049602793,28.71794563677272,1958-1961
department,96,7693,2,-18.494293093727993,-17.49429309372799,-16.49429309372799,26.68162493106838,1958-1961
government,96,78489,5,-20.5232372641335,-18.201309169246137,-15.879381074358776,12.751804282461775,1958-1961
area,96,24726,3,-19.593741249001656,-18.0087787482805,-16.423816247559344,17.83499188121763,1958-1961
true,96,7952,2,-18.54206454228344,-17.54206454228344,-16.54206454228344,26.750544562995408,1958-1961
wrong,96,7475,3,-17.86785786397283,-16.282895363251676,-14.697932862530518,16.264025123580883,1958-1961
number,96,24316,2,-20.154580804167797,-19.1545808041678,-18.1545808041678,29.076913777368777,1958-1961
grievance,96,594,2,-14.799281621521923,-13.799281621521923,-12.799281621521923,21.350850204088854,1958-1961
tape,96,113,3,-11.82017896241519,-10.235216461694032,-8.650253960972876,10.759190557339615,1958-1961
thing,96,22965,2,-20.072111663829464,-19.072111663829464,-18.072111663829464,28.95793595757629,1958-1961
fact,96,27103,2,-20.311127430948588,-19.311127430948588,-18.311127430948588,29.30276281949332,1958-1961
support,96,11464,2,-19.069785394983302,-18.069785394983302,-17.069785394983302,27.511884820159192,1958-1961
extend,96,3843,2,-17.49297976178396,-16.49297976178396,-15.492979761783959,25.23703515269672,1958-1961
civil,96,5852,2,-18.099676554859645,-17.099676554859645,-16.099676554859645,26.11231360739025,1958-1961
right,96,90724,7,-20.246804207983285,-17.43944928592568,-14.632094363868076,10.404799120767503,1958-1961
responsible,96,5538,2,-18.020111839088088,-17.020111839088088,-16.020111839088088,25.997525986516884,1958-1961
grow,96,3324,2,-17.2836671674915,-16.2836671674915,-15.283667167491501,24.935060910915386,1958-1961
nothing,96,9119,2,-18.739622410854206,-17.739622410854206,-16.739622410854206,27.035560320271045,1958-1961
regard,96,15620,2,-19.516069333750497,-18.516069333750497,-17.516069333750497,28.15573644544702,1958-1961
revolution,96,595,2,-14.801708358916462,-13.801708358916462,-12.801708358916462,21.354351246093497,1958-1961
