id	window
17823-1967-02-22.19.1.45.5-liberal	"""if the hon .member be right in say that there be a village post office in his part of the world where the postmaster have draw up a sign say """" Llythyrdy Llangadog """" and be not allow to put it up , that be a disgraceful and stupid state of affair .if I know the Postmaster - General aright , he would entirely agree with that description of whatever form of bureaucracy prevent this sign be put up ."""
22152-1967-02-22.19.1.49.5-conservative	on Second Reading , I refer to several matter which the Assistant Postmaster - General have answer in three letter to I .but one point which have not be answer be that there be a great deal of bureaucracy in the acquiring of premise for post office .I do not mean new building , about which it be understandable that there should be a great deal of consultation .I be refer to the case , for example , where a postmaster want to acquire a shop , perhaps for the Christmas rush or possibly even permanently .
22152-1967-02-22.19.1.49.6-conservative	I understand that a whole committee of the Ministry of Public Building and Works have to inspect the premise before a decision can be make .that result in some private enterprise buyer get in first , with power to make a decision , and the Post Office find itself shut out .could not the Postmaster - General make representation to his right hon .friend the Minister of Public Building and Works to get this procedure simplify ?it be ridiculous that a person hold the position of postmaster of a considerable district — I cite this because my constituency be in the Harrow and Wembley district — should not be able to come to a decision within certain limit that he can spend money on such premise without have to refer it to a committee of the Ministry of Public Building and work .that be a piece of bureaucracy handicap the Post Office and I hope that the right hon .Gentleman will take up the matter .
22545-1967-03-15.10.11.3.1-conservative	be the hon .gentleman aware that that Answer will give great pleasure to the yachting fraternity which often go to sea to get away from bureaucracy on the land ?
16651-1967-03-15.20.1.15.10-conservative	I therefore come to the conclusion that the order be the product of bumble bureaucracy .it be quite unnecessary .I can not believe that the Government 's economic policy be so much in jeopardy that it require this kind of order .it be high time the parliamentary Secretary allow a little sunshine into his soul .if he be to accept our motion he would be show respect for the law and allow the worker to be worthy of his hire .I hope that , on full consideration of these argument and those of my hon .friend the Member for Worthing , we will have the unprecedented example this evening of the House of Commons actually triumph over the Executive .
21773-1967-03-17.8.1.37.2-labour	I believe that we shall set up a huge bureaucracy run by the Home Secretary .the gambling propensity of the country should not be deal with by the Home Secretary .Premium Bonds be not run by the Home Secretary ; they be deal with by the Chancellor of the Exchequer .I suggest that if this sweepstake scheme be to be set up at all , the Chancellor of the Exchequer should run it in a separate department in the Premium Bonds business .the Premium Bonds people be expert in this sort of gambling .therefore , this scheme should not be under the Home Secretary or under the auspex of the unfortunate Secretary of State for Scotland , but under the Chancellor of the Exchequer .
17538-1967-03-20.5.1.43.4-conservative	will the Minister tell the House before these motion be accept the net amount which he expect the state will get from the levy ?I remember raise this point when we debate the Bill during the 1964 Parliament .we have never have a satisfactory explanation .I accept that this year the levy will bring in more money than the Capital Gains Tax , because the gain would be only on the difference between two give point of time .but over the next five year the difference will narrow .the Department know that the levy will bring in a very small sum of money .probably this be why the Ministry of Land and Natural Resources be amalgamate with the Ministry of Housing and Local Government — because it would not raise enough money to pay its own on - cost .the public be become aware of the complication , red tape and bureaucracy which will save no house purchaser one penny .they will probably have to pay more .it will bring the State a very small net revenue after all the balancing charge and reduction in taxis have be lay against it .
16651-1967-04-05.25.1.8.3-conservative	that be the real measure of the Government 's price and income policy as it operate in the workshop , on the building site and wherever else attempt be make by bureaucracy to frustrate the normal force of supply and demand .
22050-1967-04-07.3.1.10.5-conservative	"""I do not think the Motion move by the hon .member be quite radical enough .in fact I think it a trifle wet .his proposal do not go quite far enough .we have to ask ourselves , what do people actually want ?what do people who have express uncomfortably large regional vote in recent by - election mean ?I do not think they mean independence and freedom for Scotland , Wales , the South - West and so on .I do not think this be a sort of """" uhuru """" movement , but the hon .Member be absolutely right in say that this be a protest against Whitehall , centralisation and bureaucracy .this be what people .whether they live far from London or in London , be actually think ."""
22050-1967-04-07.3.1.12.3-conservative	this mean bureaucracy and this feeling be a protest against what we all know as bureaucracy , and I take the word from the speech of the hon .Member for Sutton .the interest in thing like the Ombudsman , the greatly increase number of people who be write to individual hon .member and to the Press , the increase in protest , be a direct function of the feeling all event have be move away from the periphery and towards the centre where there be the power of decision taking .
22050-1967-04-07.3.1.14.3-conservative	"""this dilemma be at the root of the problem .I have a suspicion that people have say that they would prefer to be poor , and to be happy and free of central control .I believe that there be a mood in part of Scotland and Wales , and certainly in Northern Ireland , which say : """" let we stand on our own foot to some extent and pay our own taxis in order to be free of the control of Whitehall . """"if this be so , it mean that people think that they be not get value for taxation and that the bureaucracy have become so top - heavy that it be worth cut the tree down at the root and allow the root to sprout again ."""
21721-1967-04-07.3.1.60.18-labour	if regional development in Wales be to lead progressively to constitutional status for Wales , it must aspire to some thing high than an economic council which be advisory , and a planning board whose bureaucracy be centrally direct .I would wish to see economic council and planning board all over Britain give real executive power which be situate and direct locally .
21718-1967-04-12.12.1.51.12-conservative	on the other hand , I hope that the Chancellor will stick to his stern financial control for at least another two year .he will not get and maintain honest money until he deal with the basic cause of inflation which , generally speak , be excessive national and local government expenditure , a swollen bureaucracy , and high taxation .
16454-1967-04-12.12.1.69.9-conservative	this all represent an intolerable programme of mis - management by the Government , and although the Budget be bitty and miscellaneous , the long - term damage to the country be incalculable .until we get back to ban an increase in bureaucracy , and boost business enterprise , we shall not get anywhere .
19284-1967-04-17.35.1.12.26-conservative	the ordinary citizen be use to both his income and his expenditure steadily grow at a rate of about 3 per cent .per annum from 1955 onwards and now , after the freeze on income , increase taxis , extra compulsion and more bureaucracy , he will not be any well off at the end of it .
21982-1967-04-18.9.1.22.13-conservative	instead of pass this ferocious measure and before set out once again on the dreary round of legislation , administration , evasion , detection , confiscation , in this case , and punishment , can we not consider this elementary suggestion which will spare the Postmaster - General 's Department from a very disagreeable and unpopular task ?in the course of his speech , the right hon .Gentleman mention 30,000 prosecution a year , detector van , postal combing , which sound a most undesirable practice , list and apparatus and a backlog of 2 million case .all that can be avoid , it will help keep down the mount tangle of legislation and bureaucracy , and , into the bargain , it will save the taxpayer £ 15 million a year .
17991-1967-04-24.12.3.3.1-labour	"""whilst I thank my right hon .friend for that reply , I be not sure that it entirely answer my question , which suggest that we should have expert advice .More and more member of Parliament be find their constituent come up against blockage of various type of bureaucracy—[hon .member : """" hear , hear ."""" ] — whether it be private or national bureaucracy , and I ask my right hon .friend to consider whether he might not initiate further move towards the development of the kind of service I have in mind for a modern Parliament ."""
22107-1967-04-24.12.3.4.1-labour	I remind my hon .friend that hon .member should be a bulwark against bureaucracy , and it be our job to be so .but I shall certainly consider any further service my hon .friend may require , if she can give I some instance of the kind of blockage where she find that there be inadequate information in the Library .
19190-1967-04-25.9.1.56.5-liberal_democrats	they end the letter — and this be the point which concern I — by say : we protest at the manner in which the administration in the name of Parliament ride rough - shod over minority population , ignore their requirement and argument .this appear to be an example of bureaucracy usurp the dignity and duty of Parliament and we appeal to you to oppose this measure thus obtrude and force upon you .I be prepared to give any amount of appreciation to the Minister of State for the fact that he have have meeting to meet these point , but at the end of the day something be be do against the clearly express wish of the local authority and Member of Parliament for the area .
19096-1967-05-05.3.1.24.5-labour	among proposal put forward be that of a local income tax .the hon .Member for Harwich mention some of the objection — the question of incentive , assessment and collection .will it be collect by P.A.Y.E. , which would create considerable difficulty ?some people live in one district and work in another .there be many other problem .the Commission would have to consider its impact not only on low income group , but also on the economy , as well as the practicability of assessment and collection and the further burden which the creation of a new bureaucracy might impose .
17900-1967-05-05.3.1.114.6-conservative	those be obviously regional responsibility .I hope that we be not to get a regional government which be really another great bureaucracy , second only to Whitehall .I always suspect any Socialist once he begin to talk about anything regional .I feel that it be only another way of get bureaucracy to work again .
22218-1967-05-10.12.25.6.1-labour	I agree with my hon .friend to this extent , that there may well be exaggeration of the difficulty of get satisfaction from local councillor or local government officer .however , we have to appreciate that it might well be to the benefit of local democracy to have this arrangement .my hon .friend be fundamentally right — that the real barrier against local bureaucracy be healthy democracy .
19081-1967-05-10.13.1.71.5-labour	long before then the Commonwealth will be disrupt , will probably vanish as the magnificent moral force it be .we shall be tie hand and foot , body and soul , to a bureaucracy in Brussels , or Paris , or even Bonn , shackle by regulation about which we have have no say and unable to raise issue in the Parliament at Westminster vital to our domestic , legal , financial and foreign interest .I must place on record that this represent my firm conviction .
22240-1967-05-10.15.1.56.10-conservative	this be the complete answer to those who be afraid of what have be call the bureaucracy of Brussels , the High Commission .it be say that law will be make for we without our have a voice in they .that be nonsense .sometimes I think that the bureaucrat of Brussels , along with the gnome of Zurich and the banker of the City form the demonology of some hon .member below the Gangway opposite .we should go in and take part in what be be do .we shall have a member on the Council and a representative on the Commission .we shall be represent in the Assembly and we shall have our judge on the court .what those institution do for Europe they will do with our participation .
22240-1967-05-10.15.1.56.11-conservative	I be surprised to hear my hon .friend the Member for Spelthorne ( Sir B. Craddock ) take this view about the bureaucracy of Brussels and be equally surprised to hear my hon .friend the Member for Edinburgh , South ( Mr. Clark Hutchison ) subscribe to the view that our law would be overturn , that we would no long have our common law of England .it simply be not true .the law make by the European Community will be law on restrictive practice and commercial matter and other matter of that kind .they will not affect our criminal law , our common law , our law of civil liberty or our law of inheritance .those thing will remain our birthright .
21872-1967-05-12.7.1.4.20-ulster_unionist_party	it have be an important part of the British Constitution for many year that we appoint non - expert Ministers , who be elect member of the House , to head Ministries .this be open to criticism .but if we have lie Ministers at the top of administrative Departments , they be in a position to bring a little humanity to bureaucracy and to protect the individual from over - efficient administration .I believe that that be one of the most important part of the british constitution .this be perhaps more important in the case of technical Ministers ; and the Post Office be become a technical Department .it be essential that the lay Ministers at the head of technical Departments should protect the public from too much technology and temper the wind of technology with a little humanity .
18305-1967-05-31.6.1.11.3-labour	it be far suggest that we should include pleasure yacht carry less than 12 passenger .if we consider the myriad of small boat in these island we see that any attempt to do that would produce a sizeable new slice of bureaucracy .it would be unnecessary and probably unworkable .they be exempt from the Merchant Shipping ( load line ) measure , which be generally accept .there be no case for include they .
19442-1967-06-05.10.1.2.4-conservative	we come to the element about which there be disagreement .in January , 1943 , Alfred Newton receive a communication at his safe house in Lyons that a radio message from London have be receive promote he to captain .he have , in fact , be tell before the commencement of this tour that he be due for promotion .he return to England in 1945 and in due course he raise the matter , but he be tell that there do not seem to be any record of this fact .in reply to my question to he last year as to why he have not press the matter at the time , he write to I as follow : frankly , the petty squabble about this promotion hurt I almost as much as the unpleasantness I endure behind enemy line and the inhuman torture I receive because it come from my own kin .feel sick and very tired , I resolve to be above such pettiness and that be the reason why I take no further action — happy with the thought that at least I have the esteem and command respect among my survive brother officer .' S.O.E.in france'—.he be refer to the book which be publish — have reopen an old wound , but in spite of it all , I want to believe in british justice .when one consider that Alfred Newton have just return from two year in a Nazi concentration camp after month of torture in a Gestapo headquarters , it be perhaps hardly surprising that he be feel sick and tired and unable to pit himself against what must have appear to he entrenched and limited bureaucracy .
18946-1967-06-05.10.1.8.2-labour	I hope that the hon .Gentleman will accept it when I say that he put his case with great feeling and very movingly .he will , I be sure , grant the same good will and as much generosity on the part of those who have deal with the case from this side , even if our view may in any respect be different .I certainly agree with the hon .member that bureaucracy be the enemy .it would be absolutely wrong for any Minister at any time to use bureaucratic reason for fail to take an action which , for other reason , should be take .
21982-1967-06-06.9.2.4.1-conservative	this subsection seek to charge a duty of 15 guinea on certain licence and the use of guinea make I suspicious that the people guilty of use such an old - fashioned unit of value might also be guilty of old - fashioned thinking and that this Clause might be a piece of parkinsonian bureaucracy that we could do without .
17538-1967-06-06.9.9.48.4-conservative	although , on most occasion , I side with my hon .friend the Member for Worcestershire , South ( Sir G. Nabarro ) against bureaucracy , on this occasion I side with my hon .friend the Member for Glasgow , Cathcart ( Mr. Edward M. Taylor ) , who be on the Front Bench .I should like to take this opportunity of congratulate he on his rise to that illustrious position .may he stay there for a long time — on the Front Bench as a Minister — and rise to even great position .
22072-1967-06-07.10.1.6.1-conservative	be the Minister aware that we welcome any proposal which look after driver ' safety ?in her statement she refer to nine hour ' driving .do she mean nine hour ' actual driving at the wheel , or do it include loading and unloading period ?have the right hon .Lady consider the possibility of dispense with the need to keep driver ' record in respect of , for example , baker ' and milk delivery van , where there tend to be a good deal of unnecessary bureaucracy ?
21715-1967-06-08.10.3.19.1-conservative	I be grateful to my right hon .friend the Member for Enfield , West ( Mr. Iain Macleod ) for his support and also for the support of my hon .friend .I want to read a further extract from the last letter I have have from one of my constituent .he say : my practice be mainly National Health I be use to this muddle approach to problem by bureaucracy and so not really surprised at the decision .I be not surprised , but I be a little disgusted .I be grateful to my right hon .friend for his promise that we can have another go at this on another occasion .
16631-1967-06-09.3.1.35.5-liberal	not only have we create these much wide governmental service and incur the much great cost of maintain they , but it inevitably follow that there fall upon the Civil Service a much wide responsibility than at any time in the past .this grow responsibility be a source of concern to everyone .we have hear many statement in recent year , some from authoritative source , other less authoritative , to the effect that we be have an increase in bureaucracy which may be dangerous to the freedom and liberty of the individual .
16631-1967-06-09.3.1.35.12-liberal	I pay tribute to her Majesty 's Government for at least make a start in the devolution of government .the establishment of the regional economic planning council give many of we a sense of hope , and I be only sorry that they do not go much far and establish elect body to deal with the problem of the region .the present set - up be wholly unsatisfactory and have often cause more dissatisfaction than exist before the council be establish .for example , not only be they not elect but , in the case of the South - West Economic Planning Council , at least , meeting be hold in secret .minute be not circulate and the agenda be not even available to the clerk of the local authority concern .all that the Press know about the council 's deliberation come from prepared statement issue at the end of meeting .there be no democracy in this .it be more than bureaucracy ; it be dictatorship at its bad .
17849-1967-06-09.3.1.51.1-labour	I have much more to say to my Member of Parliament before I give way to he .if he want to study the activity of bureaucracy at first hand perhaps he will have a look at the circumstance in which Bessborough Gardens have recently be enclose , much to the annoyance of the local citizen .if I be the Chairman of the Public Accounts Committee I should want to know whose money be be spend in Bessborough Gardens and who authorise it , because , as far as I understand the position , a firm of contractor have embark on a job which have not yet be authorise by the Ministry of Transport .I leave that problem in the hon .Member 's lap .
17849-1967-06-09.3.1.53.3-labour	I will permit myself this comment on a remark make by the hon .member for the Cities of London and Westminster about the function of the House as a public relation body .this day last week we have well over 300 member of Parliament here , and never few than 100 in the Chamber throughout the whole day .why ?be we discuss the Middle East ?no .be we discuss the destiny of Britain ?no .be we discuss productivity or the tyranny of the bureaucracy or the burden of taxaation or the disincentive of the whole economic and social set - up ?no .what be we debate ?abortion .that bring more than 300 hon .member into the Chamber .why ?because they know that every vote count and that the debate matter on a question of considerable social , emotional and public importance .when the House realise that it be function effectively , hon .member will be here .when it feel that it be not function effectively , they will not be here .
17900-1967-06-12.7.1.18.3-conservative	but there be yet another interest that concern I .I do not like the smell of the Bill .I smell here the dread scent of autocracy and bureaucracy .I be afraid that I see here an indication of the movement towards make Parliament more efficient .I be all for efficiency , but not in Parliament .the business of Parliament be to be inefficient .from the point of view of Ministers , this be a very efficient little Bill .it empower the Minister to make regulation .it do no more than that , and the representative of the people be nut on one side .there be only the farcical provision of the Regulations under the Bill be subject to consideration and the House have the nominal power to annul they .but this will not do in general and in particular .
19544-1967-06-13.13.2.5.1-liberal	this seem to be a curious clause to emerge from a party which regard itself as the guardian and custodian of liberty .I understand and sympathise with the object of it , which be to extract licence fee from those who should pay they .to that extent , I applaud it .however , a proposal for the setting up of this highly complicated procedure whereby people without television set be to receive communication and there be to be a large department to ensure that such people be visit regularly , come from the party which constantly talk about the increase in bureaucracy and the number of civil servant —
17801-1967-06-14.8.1.3.16-labour	it be equally true to say that this whole issue have leave a nasty taste in everybody 's mouth .it be another of those occasion when the suffocating bureaucracy of a Government Department be unable , or refuse , to mete out justice to an ordinary citizen — another example of the humble individual have his right treat in a deplorable way .
17538-1967-06-28.10.8.13.3-conservative	the whole thing be so crazily stupid that I do not know why it be necessary for we to table this Amendment .I be surprised that the Government do not accept it in Committee and say that they would do something about it and put the matter right .this be Bumbledon and bureaucracy go mad , and the soon the Government do something about it the well it will be for the efficiency of the nation .
16454-1967-06-28.12.1.6.3-conservative	in Article 8 , one see those sinister bureaucratic word : shall furnish such return or other information in such form and manner and within such time as may be specify … it be sad to think that , since 1923 , it have be possible for the Research Association to carry on on a basis of voluntary subscription to research , and now , for the first time — or , at least , since 1966 — the whole panoply of bureaucracy be introduce .I believe that there will he a proliferation of clerical worker unless we have a firm assurance from the hon .gentleman that there will be no need , as a result of the order , for iron found firm to do a lot of extra paper work .
16435-1967-06-29.15.1.2.13-conservative	"""these feeling be even share by people with interest in and a single - minded commitment to aviation , include many who happen to think that Stansted will eventually be prove to be the right choice .to give some evidence of this , I quote from an editorial in the Aeroplane of 17th May of this year .it state : the long - await decision … illustrate the traditional propensity of british bureaucracy to decide issue on the basis of convenience rather than logic .later , it state : … the Government … very foolishly decide that ' nothing useful seem likely to be achieve by initiate a further round of public discussion ' .consequently it proceed to conduct a very thorough re - examination ' in complete secrecy , even suppress the Blake report till last week .in the context of my quotation , """" last week """" mean the week before , 17th May."""
21830-1967-07-04.10.8.13.3-labour	it be hon .member opposite who be suspicious of what they think might be local bureaucracy , but they be seek to impose condition in the wrong place and make the Bill needlessly difficult to operate .my hon .friend the Minister of State will wipe the floor with these absurd argument .
17922-1967-07-07.5.5.6.3-labour	I be appal at the amount of bureaucracy which would be involve in inquire into the change of income of every family before a weekly allowance be provide .I be sure that any hon .member who support the idea of family allowance be relate to any form of mean test would see how completely impractical that be .
18340-1967-07-12.5.1.33.3-labour	ration in this country be a very large - scale operation .one hon .Gentleman ask for some information on the figure involve .at the time of Suez , when we have 4 million car on the road , it take a staff of 1,800 people .I hope this time to do it with something like 2,500 staff .I hope that most of they would come from within the service , rather than build up an outside bureaucracy .it be a very big exercise in a country as heavily populated as our .
22072-1967-07-18.19.1.14.2-conservative	let we look at the disadvantage of nationalisation .enormous compensation would be involve — between £ 900 million and £ 1,200 million — in the asset of the major port and dock company accord to the evidence give by the National Ports Council .probably there would be disadvantage in term of labour relation .there would be great danger that what would otherwise be dispute confine to certain port and company would be spread out on a national basis .it would mean the destruction of the small innovator in the industry .it would create another London - dominate , London - control bureaucracy .
22072-1967-07-18.19.1.14.3-conservative	in a recent Press handout on the subject issue by the Ministry of Transport , the Minister try to suggest that the local region would have considerable power .there be a stunning paragraph which say that , while the National Port Authority would control policy on finance , planning , investment , revenue , target , pricing , research , training and key appointment , the regional port authority would have a wide measure of autonomy .so provide that they have nothing to do with finance , planning , revenue target , pricing , research , training and key appointment , they would have complete freedom to operate as they want .this be the sort of enormous bureaucracy which would be create .
21741-1967-07-18.19.1.137.6-conservative	as my hon .friend the Member for Cirencester and Tewkesbury ( Mr. Ridley ) say , we should be reduce simply to the rôle of fetch and carry our own domestic requirement .the Minister 's answer to this be simply to meddle with the structure of our transport industry , give it a central control and impose a new bureaucracy upon it , forget that the great development and progress in our port have be of a civic nature .I be not say that this be the only method of improve the industry , but there be nothing to commend nationalisation of the port system .
17605-1967-07-24.35.7.16.12-liberal	let I draw the attention of the Minister of State to the fact that , also in another place , the Government suddenly start produce figure not produce at any stage in this House , and the claim be then make that the water rate would be high in Orkney and Shetland if the island be leave on their own than it would be if there be a joint Board .Goodness know where these figure come from , or what relevance they have , but the fact that must be consider be what will happen when a large new layer of bureaucracy be put over these four county .
22549-1967-07-26.25.10.9.2-conservative	anyone who suggest to the contrary be tie himself up with red tape and simply serve bureaucracy when they hand we the kind of rubbish they ladle out to this House by the spoonful .it be something like an insult to ask the House to pass rubbish of this kind when , as the hon .and learn Gentleman have admit , no decision have be take as to whether the Home Secretary will use the power if he be give it .since no decision have be take about use the power , the hon .and learn Gentleman have not the slight idea whether it be necessary or not , and he be hardly at pain to conceal the fact .
22545-1967-07-27.8.1.187.15-conservative	when the Conservative Party leave power it leave behind three balanced Services equip with powerful British - build weapon .it be expensive , but , with grow industrial production as we then have , it should and could have be afford .we now face a policy which could lead to the virtual dismemberment of the Forces and which have already , I believe , lead to a decline in morale and recruitment .we be tell that economy be essential to save money , yet the Government be enlarge our expensive bureaucracy and Civil Service .once again it have be prove that the pen be mighty than the sword .our only hope of maintain any british influence be to withdraw gradually from static basis , and concentrate on mobile amphibious force east of Suez .to do so , those force must have their own air cover .
18935-1967-11-01.3.1.26.6-conservative	on 2nd October , 1964 , the Prime Minister proclaim in Glasgow : you have the Labour Party with our dynamic , exciting , challenging plan for the new Britain we need to create .I do not know what adjective one can apply to the gracious Speech , but I know that three drab and dreary year later what we have be the large Government in the world mount on top of a swollen bureaucracy ; an intolerable burden of public expenditure and taxation ; a sustained and damaging attack on free enterprise ; and a steady erosion of freedom and initiative at every level .
18935-1967-11-01.3.1.28.2-conservative	every one of these be tie down about two or three other people in the private sector .hardly a day pass without some evidence of the increased and unproductive burden that be be place upon the ordinary citizen in deal with the bureaucracy .only this week my hon .friend the Member for Petersfield ( Miss Quennell ) have express herself amazed , as well she might , that 14 different inspector can examine an agricultural merchant 's book and that large firm have to fill in nearly 10,000 form a year .
18229-1967-11-01.3.1.52.9-conservative	we then have the right hon .Gentleman 's statement that there have be a large dispersal of Government office and what he describe as official and non - official organisation .he go on to say that Scotland have have her fair share .I be very glad to hear it .I have begin to think that a fair share of nought be nought , because I do not know where these Government office be .will the right hon .Gentleman tell we what Government office have be move to Scotland by the present government ?I know of course that there be a large bureaucracy and therefore many more official in Scotland .for example , we have one building full of people collect Selective Employment Tax and another building full of people busy pay back Selective Employment Tax , but that be not the sort of Government employment to which I be refer .
18354-1967-11-07.14.1.127.20-conservative	we come back to the point that nothing in the Gracious Speech make any contribution to action or think about Britain 's current economic difficulty .there be nothing to deal with the problem of Government expenditure , with an expand bureaucracy .we have hear about 44,000 additional public servant in three year with average cost rise by 18 per cent .per person in that time .
22107-1967-11-07.14.1.132.7-labour	"""I must be fair about it , so I shall qualify that .the Leader of the Opposition , in his interview , give we an illuminate expansion or gloss on that doctrine .there be no general principle of selectivity """" , he remark , which can be apply to all the social service .you have get to have selective selectivity , each social service have its own form of selectivity .that be quite a phrase .I take it to mean that , not content with one bureaucracy interfere in the life of million of people , the Leader of the Opposition envisage a multiplicity , a gallimaufry , of bureaucracy each with its own definition of social need , each with its own specific mean test , each with its particular thumb - screw ."""
21722-1967-11-15.14.1.3.8-labour	what have be the attitude of Mr. and Mrs. Brunton during the whole month that this case have be discuss ?it be simply that we be seek for a re - inspection , and that , I believe , be a perfectly reasonable and fair request to make .I realise we be not deal with evil people do evil thing , but I be convinced that we be deal with people who have make a mistake , and I would say that the continual refusal of the Ministry to re - inspect these premise really be not good enough because what it really amount to , in my humble opinion , be , the right of ordinary people and the right of people 's properly elect Member of Parliament must pay homage to the infallibility of bureaucracy , and that I refuse to do .there be nothing in the Act of 1957 which deny the Executive the right to re - inspect if they choose to do so .it may be say that there be nothing in the Act which require they specifically to do so , but there be nothing which say they may not , and I would say the Executive should exert their proper authority in this respect .
17426-1967-11-22.8.1.120.7-conservative	"""we have have no indication whatever about the effect on home expenditure .I suggest very seriously to the Government , and I follow the remark make by the hon .member for Toxteth about the growth of the bureaucracy , that they seriously consider the Geddes Axe—[HON .member : """" oh ."""" ] — that well - know instrument which successive government have fail to grasp but without which this business of devaluation will be of no advantage to we at all ."""
17685-1967-11-29.6.3.104.4-labour	"""an individual mean test of family allowance would create a great number of difficulty , and would not achieve the object of those who put it forward .in the first place , there be the administrative implication .the burden it would place on an enlarged bureaucracy would he such that I be afraid that the hon .member for Birmingham , Edgbaston ( Mrs. Knight ) would be the first to say ."""" how dare the Government increase the number of civil servant in local office ? """""""
17426-1967-11-30.16.1.3.11-conservative	I have a great deal of documentation about this , with which I shall not weary the House at this late hour .it be quite clear that , over the last 80 year since the Act of 1881 be pass , there have be an increase in the loading of fee on the early stage of patent application .put it broadly and no doubt inaccurately but , nevertheless , understandably , what we fear be that , because the later stage of examination of a claim to a patent be so laborious and expensive , it have suit the bureaucracy to load the fee necessary for the economic and financial viability of the Patent Office on the early stage , even though subsequently that may not be for the advantage of the country .
22509-1967-12-01.4.1.3.2-conservative	the previous discussion have show that , in many way , socialist do not care about the individual to the extent that they often proclaim .I be remind of the comment of my right hon .and learn Friend the Member for Huntingdonshire ( Sir D. Renton ) about our take care to ensure that individual man and woman be not trample under the foot of bureaucracy .
16699-1967-12-20.13.1.60.12-conservative	I believe that the consequence of the Bill on industry — and I believe this out of my own experience , as I be try to avoid political controversy — could be grave increase in cost due to the direct cost in the Bill , to the cost to people in build up stock along the pipeline because they can not be sure of delivery they now know be certain , and to the cost of the administrative form filling and the bureaucracy that go with it .these cost will be heavy on industry .
21741-1967-12-20.13.1.72.5-conservative	this be the industry which have now also lose the freightliner train , which be to be its white hope , to the National Freight Corporation .it be simply a new bureaucracy with yet another bureaucracy — the Freight Integration Council — set up to try to make sure that there will not be friction between the N.F.C.and British Railways .I can not believe that there will not be friction between they and so it may be , for once , that this new Council will have purpose in try to prevent that type of friction .it be know that communication in the top rank of railway management be not very good .to set in a new authority will make it much more difficult at this time .
21969-1967-12-20.13.1.141.13-conservative	the effect of this legislation will be incalculable .we can not estimate the loss which will flow to this country over die year from the elimination of choice and competition in transport , from the multiplication of bureaucracy and centralise control and from the extinction of those source of change and initiative which how only where there be competition and the opportunity and the reward for enterprise .
19259-1967-12-20.13.1.145.4-labour	it provide , in the application of quantity licence for the small sector of the road haulage business quite clearly set out in the Bill , for the test of speed , reliability and cost to be apply equally to what the railway can provide in freight delivery and what road haulage should provide in order to decide whether it be in the national interest that more traffic should be transfer to the railway .I want to make it plain that the major part of this Bill relate to the abolition of bureaucracy and of time - waste form filling .that be the major advance make in the Bill , and my right hon .friend have deliberately concentrate a system for the future quantity licensing of transport on the small sector where it be most important to apply it .
-1968-01-16.6.1.126.5-na	the Prime Minister have speak about sacrifice .again and again he have try to invoke the spirit or Dunkirk , yet we have this demand for public ownership without any justification or reason give that there will be a well service for british industry in move good about and make sure that good be deliver more reliably — not just almost as reliably as before , quick and not almost as quickly , and cheap .these be the thing which be need to make british industry compettive , not get control of every aspect of it .what we have not be tell be how much additional bureaucracy will be require .in the Prime Minister 's statement there be a remark sugeste a cut in bureaucracy , but when we examine it close we find that it be to be a cut in the increase which we would otherwise have have .
18562-1968-01-17.13.1.8.1-conservative	be the right hon .gentleman aware that we on this side of the House demand a great reduction in the Civil Service and an alteration in the policy that have cause a crass inflation of the bureaucracy which be largely the cause of crippling taxation today ?
18354-1968-01-25.11.1.32.13-conservative	however , if the Government 's argument be that the pressure on domestic expenditure be the reason why we must leave the Gulf and break faith with our friend there , they must realise that they be say that they would rather do that than cut expenditure on transport nationalisation , the Industrial Expansion Bill , the Land Commission and the expansion of bureaucracy at home .on their own argument , they prefer all these alternative to carry out Britain 's word in the Gulf .
21824-1968-01-25.11.1.62.3-conservative	management consultant know that this be possible ; many industrialist know that it be possible and desirable ; and the public , horrify by the growth of bureaucracy under Socialism , know that it should be do .add to this , as a top priority , a mobilisation of national training resource to ensure an effective and massive transfer of manpower from redundant to productive work and a new deal for industrial relation .
21660-1968-01-26.5.1.5.11-labour	however , I wish to dwell for a short time not on the past but on the future .I notice that on Monday of next week we be to have a debate on bureaucracy .we be now talk about retired civil servant who use to be member of the bureaucracy , and , with all respect , it do not lie in the mouth of hon .member opposite to come here on Monday and to talk about swollen bureaucracy — —
21678-1968-01-26.5.1.25.6-labour	the central proposal of the Bill be to set up an independent commission .in this respect , it be quite inadequate to meet the situation .the present situation need a much more radical solution .what make I curious about the proposal to set up a commission be the sight of so many conservative member express a keenness to establish a new bureaucracy — because the Bill would set up a small bureaucracy .presumably the commission could not function without official , and in the matter of make pension review it would need a fair collection of expert official who could stand up to and argue with the Government and Treasury expert .
21678-1968-01-26.5.1.25.7-labour	it be curious that at a time when many hon .member on this side of the House ere begin to wean themselves from bureaucracy , hon .member opposite should propose a new if small instalment of it .
21678-1968-01-26.5.1.31.3-labour	there be the further point that we ought to be tell what be propose for a new Pensions ( Increase ) Bill .I have already explain why I believe that the proposal in the Bill be largely unworkable and , to be effective , would require an additional bureaucracy .moreover , it do not provide a radical solution .
