id,adj
17919__Labour__uk.proc.d.1954-02-09.11,tidiness
17919__Labour__uk.proc.d.1954-02-09.11,mixture
21818__Labour__uk.proc.d.1954-02-10.12,argument
21818__Labour__uk.proc.d.1954-02-10.12,tidiness
18911__Labour__uk.proc.d.1954-02-17.17,issue
17838__Conservative__uk.proc.d.1954-02-18.16,machinery
22188__Conservative__uk.proc.d.1954-02-18.17,tying
21818__Labour__uk.proc.d.1954-02-18.17,tidying
21818__Labour__uk.proc.d.1954-02-18.17,tidiness
21818__Labour__uk.proc.d.1954-02-18.17,tidying
17458__Labour__uk.proc.d.1954-03-01.26,Service
21882__Labour__uk.proc.d.1954-03-03.16,tendencies
