w,p1,p2,p12,pmi_reg,pmi_2,pmi_3,npmi,period
prevent,96,4514,2,-17.725153203912992,-16.725153203912992,-15.725153203912994,25.571990626282396,1957-1960
purpose,96,12703,3,-18.632881630406104,-17.04791912968495,-15.462956628963791,16.960379765090256,1957-1960
even,96,18712,3,-19.191676146352428,-17.606713645631274,-16.021751144910116,17.469016453128557,1957-1960
organisation,96,6195,2,-18.181851067749122,-17.181851067749122,-16.18185106774912,26.230866369623364,1957-1960
must,96,36309,4,-19.7330020771422,-17.7330020771422,-15.7330020771422,14.234352119272334,1957-1960
constant,96,813,2,-15.252074042796183,-14.252074042796183,-13.252074042796187,22.004091584813338,1957-1960
anything,96,7882,2,-18.52930853485899,-17.52930853485899,-16.52930853485899,26.732141534342613,1957-1960
would,96,112696,3,-21.7820767842453,-20.197114283524144,-18.612151782802986,19.82690072641783,1957-1960
much,96,32480,2,-20.572226512793694,-19.572226512793694,-18.572226512793694,29.679449170051917,1957-1960
international,96,3867,3,-16.916999049082808,-15.33203654836165,-13.747074047640496,15.398516131284078,1957-1960
hospital,96,7901,2,-18.532782046741186,-17.532782046741186,-16.532782046741186,26.737152752709523,1957-1960
secretary,96,33486,2,-20.61623293249266,-19.61623293249266,-18.61623293249266,29.742937013518894,1957-1960
talk,96,8152,2,-18.57790083688697,-17.57790083688697,-16.57790083688697,26.802245407503754,1957-1960
matter,96,50253,2,-21.201884605038416,-20.201884605038416,-19.201884605038416,30.587853777188982,1957-1960
state,96,27544,3,-19.749450465569915,-18.16448796484876,-16.579525464127606,17.97672451808539,1957-1960
think,96,70088,9,-19.511917335582627,-16.34199233414031,-13.172067332698001,8.880256272773755,1957-1960
call,96,11639,2,-19.091641990319562,-18.091641990319562,-17.091641990319562,27.54341722186153,1957-1960
reasonably,96,1477,2,-16.113416611485945,-15.113416611485947,-14.113416611485947,23.24674623716862,1957-1960
unnecessary,96,1339,2,-15.971902746045467,-14.971902746045465,-13.971902746045465,23.042584885280615,1957-1960
question,96,39907,2,-20.86931670891182,-19.86931670891182,-18.86931670891182,30.108059722688267,1957-1960
form,96,10127,2,-18.89088173692392,-17.89088173692392,-16.89088173692392,27.253781399880026,1957-1960
evil,96,681,2,-14.996473488733228,-13.996473488733228,-12.996473488733228,21.635337933018242,1957-1960
however,96,12591,2,-19.205067749328222,-18.205067749328222,-17.205067749328222,27.707056001892393,1957-1960
member,96,113239,3,-21.789011388582843,-20.204048887861685,-18.619086387140527,19.833212875306998,1957-1960
deal,96,30957,3,-19.917978048227177,-18.333015547506022,-16.748053046784865,18.13012493458863,1957-1960
time,96,53965,3,-20.719736403540235,-19.134773902819077,-17.54981140209792,18.85991683987039,1957-1960
take,96,61153,2,-21.485098155457592,-20.485098155457592,-19.485098155457592,30.996444561891284,1957-1960
make,96,102250,2,-22.226703818324992,-21.226703818324992,-20.226703818324992,32.066355374005255,1957-1960
legislation,96,7468,2,-18.45146871294736,-17.45146871294736,-16.451468712947356,26.61984240928702,1957-1960
never,96,8283,2,-18.600900174030382,-17.600900174030382,-16.600900174030382,26.83542643714429,1957-1960
government,96,79902,3,-21.285943994767404,-19.70098149404625,-18.116018993325095,19.375301199819255,1957-1960
certainly,96,12231,2,-19.16321724293086,-18.16321724293086,-17.16321724293086,27.646678483854224,1957-1960
wrong,96,7242,2,-18.407134962197333,-17.407134962197333,-16.407134962197333,26.55588232693595,1957-1960
treasury,96,4788,2,-17.81016993766466,-16.81016993766466,-15.810169937664659,25.694643846458504,1957-1960
thing,96,22716,2,-20.056383697146018,-19.056383697146018,-18.056383697146018,28.935245298038815,1957-1960
fault,96,1081,2,-15.663113308455808,-14.663113308455808,-13.663113308455808,22.59709589499112,1957-1960
support,96,10991,2,-19.00899753401982,-18.00899753401982,-17.00899753401982,27.42418647460093,1957-1960
civil,96,6040,3,-17.560332834212442,-15.975370333491284,-14.39040783277013,15.98410377832339,1957-1960
right,96,89247,3,-21.44551605392519,-19.860553553204035,-18.27559105248288,19.52054994753829,1957-1960
responsible,96,5649,2,-18.04874228605654,-17.04874228605654,-16.04874228605654,26.038830990376706,1957-1960
manchester,96,1838,2,-16.42888355201019,-15.428883552010191,-14.428883552010191,23.70186882782736,1957-1960
absurd,96,500,2,-14.550746785383243,-13.550746785383243,-12.550746785383243,20.992290228503432,1957-1960
hand,96,7800,2,-18.51422090935813,-17.51422090935813,-16.51422090935813,26.71037469185373,1957-1960
corporation,96,5636,2,-18.045418397030794,-17.045418397030794,-16.045418397030794,26.034035632162794,1957-1960
many,96,36766,2,-20.751047105654035,-19.751047105654035,-18.751047105654035,29.937432752580353,1958-1961
sometimes,96,3498,2,-17.35727707464281,-16.35727707464281,-15.357277074642809,25.041257558922876,1958-1961
local,96,29926,2,-20.45407433699448,-19.45407433699448,-18.45407433699448,29.50899161195615,1958-1961
create,96,4692,8,-15.780949798749665,-12.780949798749665,-9.780949798749665,7.58903267172461,1958-1961
surely,96,5782,2,-18.082315394198204,-17.082315394198204,-16.082315394198204,26.087266746999912,1958-1961
approve,96,3287,2,-17.26751824180147,-16.26751824180147,-15.267518241801469,24.91176293590669,1958-1961
people,96,50635,4,-20.21280983181128,-18.212809831811278,-16.21280983181128,14.580460253392909,1958-1961
always,96,10325,4,-17.918816661915326,-15.918816661915326,-13.918816661915326,12.925693968371885,1958-1961
build,96,8881,2,-18.701468918469228,-17.701468918469228,-16.701468918469228,26.98051646601464,1958-1961
challenge,96,1716,2,-16.329796338220703,-15.329796338220703,-14.329796338220703,23.558916195877764,1958-1961
describe,96,3403,2,-17.317553936686163,-16.317553936686163,-15.317553936686163,24.983949184784276,1958-1961
part,96,28012,2,-20.358719872860956,-19.358719872860956,-18.358719872860956,29.37142419942409,1958-1961
gentleman,96,54422,2,-21.31686485664986,-20.31686485664986,-19.31686485664986,30.75373521598898,1958-1961
change,96,13952,2,-19.353146825498083,-18.353146825498083,-17.353146825498083,27.92068895074207,1958-1961
executive,96,1632,2,-16.257387842692655,-15.257387842692653,-14.257387842692653,23.454452818461217,1958-1961
like,96,29689,3,-19.85764088010415,-18.27267837938299,-16.687715878661837,18.07520367733947,1958-1961
industry,96,38549,3,-20.234405815208483,-18.64944331448733,-17.06448081376617,18.41814990048895,1958-1961
seem,96,15526,2,-19.50736107294047,-18.50736107294047,-17.50736107294047,28.143173080761624,1958-1961
large,96,14752,3,-18.84862294042934,-17.263660439708183,-15.678697938987025,17.156755968277267,1958-1961
force,96,11324,3,-18.467096033905747,-16.882133533184593,-15.297171032463437,16.8094752119459,1958-1961
side,96,18037,2,-19.723634282886263,-18.723634282886263,-17.723634282886263,28.455189368227558,1958-1961
great,96,43137,5,-19.65967263189507,-17.33774453700771,-15.015816442120343,12.215241408201916,1958-1961
service,96,25483,2,-20.222210009919355,-19.222210009919355,-18.222210009919355,29.17448209712581,1958-1961
resist,96,838,2,-15.29576893442051,-14.295768934420508,-13.295768934420508,22.067129988271933,1958-1961
bill,96,47494,2,-21.120420147040573,-20.120420147040573,-19.120420147040573,30.470325407626788,1958-1961
associate,96,1910,2,-16.484319423644266,-15.48431942364427,-14.48431942364427,23.7818458849212,1958-1961
inland,96,1282,2,-15.9091430473399,-14.909143047339898,-13.909143047339898,22.952041779190406,1958-1961
bureaucracy,96,96,96,-6.584962500721156,0.0,6.584962500721156,1.4426950408889634,1958-1961
seek,96,6508,2,-18.252961036393685,-17.252961036393685,-16.252961036393685,26.333456368744645,1958-1961
system,96,10018,2,-18.875269396979057,-17.875269396979057,-16.875269396979057,27.2312575544649,1958-1961
friend,96,71924,5,-20.397220042883152,-18.07529194799579,-15.753363853108429,12.673505380542807,1958-1961
include,96,9785,2,-18.841318636235325,-17.841318636235325,-16.841318636235325,27.18227696030551,1958-1961
know,96,43042,2,-20.978419996339962,-19.97841999633996,-18.97841999633996,30.26546249440553,1958-1961
rather,96,14130,2,-19.371436345942456,-18.371436345942456,-17.371436345942456,27.947075151187406,1958-1961
opportunity,96,10274,2,-18.911672859068116,-17.911672859068116,-16.911672859068116,27.283776648691976,1958-1961
revenue,96,3637,2,-17.413495711176775,-16.413495711176775,-15.413495711176774,25.122363907055966,1958-1961
socialism,96,199,2,-13.221587121264806,-12.221587121264804,-11.221587121264806,19.074718172530122,1958-1961
remind,96,3543,2,-17.375718250839473,-16.375718250839473,-15.375718250839471,25.067862552369963,1958-1961
citizen,96,2175,2,-16.67176218634461,-15.67176218634461,-14.67176218634461,24.05226862911951,1958-1961
scheme,96,16373,2,-19.583993569131188,-18.583993569131188,-17.583993569131188,28.253730402986918,1958-1961
power,96,20608,4,-18.915879378835776,-16.915879378835776,-14.915879378835774,13.644922686950089,1958-1961
believe,96,21745,2,-19.99335858907259,-18.99335858907259,-17.993358589072585,28.844319287169785,1958-1961
become,96,11187,2,-19.034498083215954,-18.034498083215954,-17.034498083215954,27.46097599046614,1958-1961
probably,96,5266,2,-17.94745430676722,-16.94745430676722,-15.947454306767218,25.892703324954336,1958-1961
even,96,18875,2,-19.789151524708323,-18.789151524708323,-17.789151524708323,28.54971076809697,1958-1961
organisation,96,6026,2,-18.14194745831562,-17.14194745831562,-16.14194745831562,26.17329763018008,1958-1961
must,96,37281,3,-20.186152937923932,-18.601190437202778,-17.016227936481624,18.37422823878694,1958-1961
constant,96,859,2,-15.33147682185962,-14.33147682185962,-13.33147682185962,22.118645580400962,1958-1961
anything,96,7884,2,-18.529674561764644,-17.529674561764644,-16.529674561764644,26.732669599544227,1958-1961
would,96,114589,2,-22.39107153402477,-21.39107153402477,-20.391071534024768,32.30348786232757,1958-1961
well,96,35410,2,-20.696831723999434,-19.696831723999434,-18.696831723999434,29.85921649032736,1958-1961
international,96,3979,3,-16.958190183693738,-15.373227682972583,-13.788265182251424,15.436009917796213,1958-1961
talk,96,8200,3,-18.00140819439281,-16.416445693671655,-14.831483192950495,16.38558787305812,1958-1961
matter,96,49844,2,-21.190094730105308,-20.190094730105308,-19.190094730105308,30.570844583090285,1958-1961
nationalise,96,2561,2,-16.907454038318626,-15.907454038318626,-14.907454038318626,24.39230009514036,1958-1961
state,96,27324,2,-20.322843577578936,-19.322843577578936,-18.322843577578936,29.319665646135253,1958-1961
mere,96,816,2,-15.257387842692653,-14.257387842692653,-13.257387842692653,22.01175777757225,1958-1961
think,96,70731,5,-20.37308944375755,-18.05116134887019,-15.729233253982825,12.658512196314216,1958-1961
house,96,68498,2,-21.648736745245888,-20.648736745245888,-19.648736745245888,31.23252514387692,1958-1961
reasonably,96,1397,2,-16.033078806130618,-15.03307880613062,-14.03307880613062,23.130843283786586,1958-1961
question,96,40963,2,-20.90699625787979,-19.90699625787979,-18.90699625787979,30.16241982112729,1958-1961
whether,96,34461,2,-20.65763944701363,-19.65763944701363,-18.65763944701363,29.80267398667879,1958-1961
ordinary,96,3684,2,-17.432019846812494,-16.432019846812494,-15.432019846812493,25.149088585674374,1958-1961
evil,96,699,2,-15.034111146096592,-14.034111146096592,-13.034111146096592,21.689637594647046,1958-1961
however,96,13207,3,-18.689015171898564,-17.104052671177406,-15.519090170456252,17.011474716486177,1958-1961
member,96,118029,2,-22.433744351828974,-21.433744351828974,-20.43374435182897,32.365051724954455,1958-1961
idea,96,6323,2,-18.21135600489515,-17.21135600489515,-16.21135600489515,26.27343299612568,1958-1961
deal,96,32282,4,-19.563404842427165,-17.563404842427165,-15.563404842427166,14.112013574536402,1958-1961
result,96,13775,2,-19.33472719906704,-18.33472719906704,-17.33472719906704,27.894115047034976,1958-1961
make,96,104126,2,-22.252933326096816,-21.252933326096816,-20.252933326096816,32.10419655479262,1958-1961
government,96,78489,2,-21.84516535902086,-20.84516535902086,-19.84516535902086,31.515911730858768,1958-1961
area,96,24726,2,-20.178703749722814,-19.178703749722814,-18.178703749722814,29.111715831292635,1958-1961
wrong,96,7475,2,-18.452820364693984,-17.452820364693984,-16.452820364693984,26.621792430558884,1958-1961
number,96,24316,2,-20.154580804167797,-19.1545808041678,-18.1545808041678,29.076913777368777,1958-1961
grievance,96,594,2,-14.799281621521923,-13.799281621521923,-12.799281621521923,21.350850204088854,1958-1961
tape,96,113,3,-11.82017896241519,-10.235216461694032,-8.650253960972876,10.759190557339615,1958-1961
thing,96,22965,2,-20.072111663829464,-19.072111663829464,-18.072111663829464,28.95793595757629,1958-1961
fact,96,27103,2,-20.311127430948588,-19.311127430948588,-18.311127430948588,29.30276281949332,1958-1961
support,96,11464,2,-19.069785394983302,-18.069785394983302,-17.069785394983302,27.511884820159192,1958-1961
civil,96,5852,2,-18.099676554859645,-17.099676554859645,-16.099676554859645,26.11231360739025,1958-1961
right,96,90724,3,-21.469196629319732,-19.884234128598575,-18.29927162787742,19.542104936171494,1958-1961
responsible,96,5538,2,-18.020111839088088,-17.020111839088088,-16.020111839088088,25.997525986516884,1958-1961
grow,96,3324,2,-17.2836671674915,-16.2836671674915,-15.283667167491501,24.935060910915386,1958-1961
manchester,96,1760,2,-16.366322214245816,-15.366322214245816,-14.366322214245816,23.611611896083318,1958-1961
hand,96,8127,2,-18.573469679644326,-17.573469679644326,-16.573469679644326,26.795852598924395,1958-1961
corporation,96,5320,2,-17.962173031109707,-16.962173031109707,-15.96217303110971,25.913937955571456,1958-1961
bureaucratic,96,99,2,-12.214319120800766,-11.214319120800766,-10.214319120800766,17.62153762341451,1958-1961
concerned,96,5506,2,-18.01175139531672,-17.01175139531672,-16.01175139531672,25.985464415748297,1958-1961
rate,112,17137,2,-19.872181875238482,-18.872181875238482,-17.872181875238482,28.6694982430501,1959-1962
individual,112,5540,2,-18.243025182994156,-17.243025182994156,-16.243025182994156,26.319121962318142,1959-1962
attitude,112,4424,2,-17.91849059229231,-16.91849059229231,-15.918490592292311,25.850917517715665,1959-1962
piece,112,1578,2,-16.431236412071062,-15.431236412071064,-14.431236412071064,23.705263287369085,1959-1962
many,112,39268,2,-21.068421422057,-20.068421422057,-19.068421422056996,30.395307104960438,1959-1962
recognise,112,6970,2,-18.574297862813392,-17.57429786281339,-16.57429786281339,26.797047414675355,1959-1962
create,112,4710,8,-16.00886626655775,-13.00886626655775,-10.00886626655775,7.698637324339161,1959-1962
surely,112,6270,4,-17.421604649747007,-15.421604649747007,-13.421604649747007,12.567031316259056,1959-1962
enormous,112,1826,2,-16.641825972041826,-15.641825972041827,-14.641825972041827,24.009079801201896,1959-1962
approve,112,3620,2,-17.62912890402817,-16.629128904028175,-15.629128904028173,25.43345684503373,1959-1962
people,112,55448,4,-20.566202725165926,-18.566202725165926,-16.566202725165926,14.835379340756983,1959-1962
always,112,10812,3,-18.622738217871145,-17.037775717149987,-15.452813216428831,16.951146833109078,1959-1962
build,112,10192,4,-18.122504484313907,-16.122504484313904,-14.122504484313906,13.072623674003838,1959-1962
necessary,112,12433,2,-19.409241752696698,-18.409241752696698,-17.409241752696698,28.00161682403054,1959-1962
minister,112,58699,3,-21.06344072658358,-19.478478225862425,-17.89351572514127,19.172769997065664,1959-1962
describe,112,3661,2,-17.64537698036215,-16.64537698036215,-15.64537698036215,25.456897864184747,1959-1962
part,112,30767,3,-20.13148857844994,-18.54652607772878,-16.961563577007624,18.32447059449528,1959-1962
gentleman,112,58254,3,-21.052461916438812,-19.467499415717654,-17.8825369149965,19.16277665341021,1959-1962
view,112,30089,2,-20.68430346148487,-19.68430346148487,-18.68430346148487,29.841142028126644,1959-1962
executive,112,1737,3,-15.984774460046841,-14.399811959325685,-12.814849458604527,14.549968742317457,1959-1962
like,112,31425,3,-20.16201754553168,-18.577055044810525,-16.99209254408937,18.35225925788148,1959-1962
industry,112,41529,2,-21.149186434327852,-20.149186434327852,-19.149186434327852,30.511826387640934,1959-1962
large,112,15451,3,-19.137805014313525,-17.55284251359237,-15.96788001287121,17.41998083556395,1959-1962
force,112,12328,3,-18.812043567851234,-17.22708106713008,-15.642118566408922,17.123459988471275,1959-1962
country,112,45234,5,-19.95054678449321,-17.628618689605847,-15.306690594718486,12.395971680771563,1959-1962
european,112,4095,2,-17.807002658585976,-16.807002658585976,-15.807002658585976,25.690074428638574,1959-1962
head,112,3014,3,-16.779856122934273,-15.194893622213115,-13.60993112149196,15.273683260249294,1959-1962
side,112,19125,2,-20.030527049412342,-19.030527049412342,-18.030527049412342,28.897942040579427,1959-1962
control,112,11899,3,-18.760945134447542,-17.175982633726388,-15.59102013300523,17.076948189968057,1959-1962
excise,112,465,2,-14.668441828052998,-13.668441828052998,-12.668441828052998,21.162088282900303,1959-1962
great,112,45887,4,-20.293152790932957,-18.293152790932957,-16.293152790932957,14.638415447740503,1959-1962
service,112,28572,2,-20.609669328049097,-19.609669328049097,-18.609669328049094,29.733467733937808,1959-1962
resist,112,986,2,-15.752798758435517,-14.752798758435516,-13.752798758435516,22.726484648916742,1959-1962
associate,112,2120,2,-16.857203471508168,-15.857203471508166,-14.857203471508166,24.31980385160105,1959-1962
inland,112,1363,2,-16.219924768862814,-15.219924768862814,-14.219924768862814,23.40040502763045,1959-1962
bureaucracy,112,112,112,-6.807354922057604,0.0,6.807354922057604,1.4426950408889634,1959-1962
seek,112,7334,2,-18.64773947276927,-17.64773947276927,-16.64773947276927,26.9030012611536,1959-1962
friend,112,81146,3,-21.530624781396753,-19.945662280675595,-18.360699779954437,19.5980192498112,1959-1962
include,112,10622,2,-19.18212273615043,-18.18212273615043,-17.18212273615043,27.67395334516766,1959-1962
know,112,46233,6,-19.71902778112572,-17.134065280404563,-14.549102779683407,11.005398949905528,1959-1962
work,112,32623,2,-20.800956759503325,-19.800956759503325,-18.800956759503325,30.00943716268121,1959-1962
rather,112,15098,2,-19.689424753065747,-18.689424753065747,-17.689424753065747,28.405835449204357,1959-1962
opportunity,112,10861,2,-19.214224243480686,-18.214224243480686,-17.214224243480686,27.720266030598083,1959-1962
revenue,112,3700,2,-17.660664477461278,-16.660664477461278,-15.66066447746128,25.478953060437263,1959-1962
remind,112,3660,2,-17.64498285522901,-16.64498285522901,-15.64498285522901,25.456329261809675,1959-1962
danish,112,229,2,-13.64655871015455,-12.646558710154547,-11.646558710154547,19.687822576340057,1959-1962
power,112,22085,3,-19.653171633263963,-18.06820913254281,-16.48324663182165,17.889087748226686,1959-1962
believe,112,23414,4,-19.322438724190313,-17.322438724190313,-15.322438724190313,13.938193262635117,1959-1962
extraordinary,112,1300,2,-16.151650829973423,-15.151650829973422,-14.151650829973422,23.301906554572767,1959-1962
slow,112,952,2,-15.702172685365548,-14.702172685365548,-13.702172685365548,22.653446664359016,1959-1962
probably,112,5693,2,-18.28232830644875,-17.28232830644875,-16.28232830644875,26.375824383617534,1959-1962
vast,112,2071,5,-15.501538665390756,-13.17961057050339,-10.857682475616029,9.631647512233858,1959-1962
must,112,40692,5,-19.797884396916828,-17.475956302029466,-15.154028207142105,12.301117206177079,1959-1962
ombudsman,112,60,2,-11.714245517666122,-10.714245517666123,-9.714245517666123,16.900083916092683,1959-1962
profit,112,5341,2,-18.19024909094974,-17.190249090949738,-16.190249090949738,26.242982156048168,1959-1962
anything,112,8700,2,-18.89415460768106,-17.89415460768106,-16.89415460768106,27.258503154290825,1959-1962
would,112,122402,11,-20.249190909143476,-16.789759290506176,-13.33032767186888,8.444568509246212,1959-1962
well,112,37822,6,-19.42933045486082,-16.844367954139667,-14.259405453418509,10.843715793633603,1959-1962
much,112,36012,2,-20.94354502637705,-19.94354502637705,-18.94354502637705,30.215148548188882,1959-1962
international,112,4320,3,-17.29920801838728,-15.714245517666123,-14.129283016944967,15.74641772791362,1959-1962
customs,112,662,2,-15.178042328864823,-14.178042328864823,-13.178042328864823,21.897286398256053,1959-1962
talk,112,8967,2,-18.937764604456856,-17.937764604456856,-16.937764604456856,27.321419080372447,1959-1962
state,112,28980,4,-19.630124896501897,-17.630124896501897,-15.630124896501897,14.160141920107131,1959-1962
investigate,112,1346,2,-16.20181761666792,-15.20181761666792,-14.20181761666792,23.374281928954254,1959-1962
mere,112,799,2,-15.449406614985582,-14.449406614985582,-13.449406614985582,22.288782308116847,1959-1962
think,112,76145,4,-21.023816608023722,-19.023816608023722,-17.023816608023722,15.165477980477426,1959-1962
house,112,75399,4,-21.009612691087625,-19.009612691087625,-17.009612691087625,15.155232020214973,1959-1962
lead,112,7100,4,-17.60095823133701,-15.60095823133701,-13.60095823133701,12.696407577621843,1959-1962
huge,112,660,2,-15.17367713630342,-14.17367713630342,-13.17367713630342,21.890988756595192,1959-1962
erect,112,589,2,-15.009478745888064,-14.009478745888064,-13.009478745888064,21.654100553021006,1959-1962
question,112,45081,3,-20.682624319036663,-19.09766181831551,-17.51269931759435,18.82613596477335,1959-1962
whether,112,37222,2,-20.99122287749208,-19.99122287749208,-18.99122287749208,30.283933147552784,1959-1962
measure,112,8952,3,-18.350386742312843,-16.765424241591685,-15.180461740870529,16.703241836626212,1959-1962
ordinary,112,3993,3,-17.185649777969495,-15.60068727724834,-14.015724776527184,15.643052562978632,1959-1962
member,112,130480,3,-22.215861582935695,-20.63089908221454,-19.045936581493383,20.221748666100254,1959-1962
idea,112,6890,2,-18.55764318964926,-17.55764318964926,-16.55764318964926,26.77301980029383,1959-1962
deal,112,34784,3,-20.308528646363758,-18.723566145642604,-17.138603644921446,18.485619408995117,1959-1962
take,112,66592,2,-21.83041617179294,-20.83041617179294,-19.830416171792937,31.494633151587905,1959-1962
make,112,110681,7,-20.75604805826894,-17.94869313621134,-15.141338214153734,10.666498691291292,1959-1962
public,112,22031,2,-20.234602282905406,-19.234602282905406,-18.234602282905406,29.19236036790813,1959-1962
process,112,3293,2,-17.49254171865295,-16.49254171865295,-15.492541718652951,25.23640319004392,1959-1962
government,112,85803,4,-21.19609539233256,-19.19609539233256,-17.19609539233256,15.289750854363795,1959-1962
involve,112,7835,2,-18.74307248141755,-17.74307248141755,-16.74307248141755,27.040537719963496,1959-1962
area,112,24371,2,-20.380232751086112,-19.380232751086112,-18.380232751086112,29.40246072215477,1959-1962
swollen,112,29,2,-10.665335917185176,-9.665335917185176,-8.665335917185176,15.386827237137998,1959-1962
true,112,8506,2,-18.861620061683368,-17.861620061683368,-16.861620061683368,27.21156572612238,1959-1962
wrong,112,8222,2,-18.812628578621542,-17.812628578621542,-16.812628578621542,27.140885956463286,1959-1962
complain,112,1809,2,-16.628331614678846,-15.628331614678844,-14.628331614678844,23.98961155875434,1959-1962
treasury,112,5606,2,-18.2601109510901,-17.2601109510901,-16.2601109510901,26.343771515219938,1959-1962
tape,112,149,5,-11.704595347632404,-9.382667252745042,-7.060739157857679,7.272473984367917,1959-1962
thing,112,24565,2,-20.391671540695988,-19.391671540695988,-18.391671540695985,29.41896340719871,1959-1962
fact,112,28167,2,-20.58907321549379,-19.589073215493787,-18.589073215493787,29.703753824492676,1959-1962
another,112,17549,3,-19.32149362422799,-17.736531123506836,-16.15156862278568,17.587181413792653,1959-1962
civil,112,5768,2,-18.301210371298428,-17.301210371298428,-16.301210371298428,26.40306544493791,1959-1962
right,112,98233,6,-20.806312560035604,-18.221350059314446,-15.636387558593292,11.612224139102556,1959-1962
bureaucratic,112,117,3,-12.092757140919852,-10.507794640198696,-8.92283213947754,11.007301907737052,1959-1962
concerned,112,6134,2,-18.389967373324623,-17.389967373324623,-16.389967373324623,26.53111473160527,1959-1962
